2015-11-16 18:38:10.523 [main] INFO   - Initializing ontologies!
2015-11-16 18:38:10.570 [main] INFO   - Rows loaded from tweets.txt[1500]
2015-11-16 18:38:12.570 [main] INFO   - HashTags Loaded [1081]
2015-11-16 18:38:12.649 [main] INFO   - Rows loaded from ontologies.json[1]
2015-11-16 18:38:12.696 [main] INFO   - Ontologies Loaded [5431]
2015-11-16 18:38:12.728 [main] DEBUG  - mercedes-benz, matched with: mercedes-benz[Citroën]
2015-11-16 18:38:12.821 [main] DEBUG  - luxury, matched with: luxury[Watches]
2015-11-16 18:38:12.821 [main] DEBUG  - luxury, matched with: luxury[Watches]
2015-11-16 18:38:12.821 [main] DEBUG  - luxury, matched with: luxury[Watches]
2015-11-16 18:38:12.837 [main] DEBUG  - auction, matched with: auction[Watches]
2015-11-16 18:38:12.837 [main] DEBUG  - texas, matched with: texas[Watches]
2015-11-16 18:38:12.853 [main] DEBUG  - luxury, matched with: luxury[Gyms]
2015-11-16 18:38:12.853 [main] DEBUG  - luxury, matched with: luxury[Gyms]
2015-11-16 18:38:12.853 [main] DEBUG  - luxury, matched with: luxury[Gyms]
2015-11-16 18:38:12.853 [main] DEBUG  - sports, matched with: sports[Gyms]
2015-11-16 18:38:12.868 [main] DEBUG  - sports, matched with: sports[Gyms]
2015-11-16 18:38:12.868 [main] DEBUG  - soccer, matched with: soccer[Gyms]
2015-11-16 18:38:12.868 [main] DEBUG  - sports, matched with: sports[Gyms]
2015-11-16 18:38:12.868 [main] DEBUG  - texas, matched with: texas[Gyms]
2015-11-16 18:38:12.868 [main] DEBUG  - luxury, matched with: luxury[Gyms]
2015-11-16 18:38:12.868 [main] DEBUG  - luxury, matched with: luxury[Gyms]
2015-11-16 18:38:12.868 [main] DEBUG  - luxury, matched with: luxury[Gyms]
2015-11-16 18:38:12.868 [main] DEBUG  - sports, matched with: sports[Gyms]
2015-11-16 18:38:12.868 [main] DEBUG  - sports, matched with: sports[Gyms]
2015-11-16 18:38:12.884 [main] DEBUG  - nashville, matched with: nashville[Shoes]
2015-11-16 18:38:12.884 [main] DEBUG  - 800, matched with: 800[Shopping mall]
2015-11-16 18:38:12.884 [main] DEBUG  - 800, matched with: 800[Shopping mall]
2015-11-16 18:38:12.884 [main] DEBUG  - 800, matched with: 800[Shopping mall]
2015-11-16 18:38:12.884 [main] DEBUG  - luxury, matched with: luxury[Shopping mall]
2015-11-16 18:38:12.884 [main] DEBUG  - luxury, matched with: luxury[Shopping mall]
2015-11-16 18:38:12.884 [main] DEBUG  - luxury, matched with: luxury[Shopping mall]
2015-11-16 18:38:12.900 [main] DEBUG  - soccer, matched with: soccer[Shoes]
2015-11-16 18:38:12.900 [main] DEBUG  - healthy, matched with: healthy[Shoes]
2015-11-16 18:38:12.900 [main] DEBUG  - healthy, matched with: healthy[Shoes]
2015-11-16 18:38:12.900 [main] DEBUG  - healthy, matched with: healthy[Shoes]
2015-11-16 18:38:12.900 [main] DEBUG  - healthy, matched with: healthy[Shoes]
2015-11-16 18:38:12.900 [main] DEBUG  - exercise, matched with: exercise[Shoes]
2015-11-16 18:38:12.900 [main] DEBUG  - exercise, matched with: exercise[Shoes]
2015-11-16 18:38:12.900 [main] DEBUG  - exercise, matched with: exercise[Shoes]
2015-11-16 18:38:12.900 [main] DEBUG  - texas, matched with: texas[Soft Drinks]
2015-11-16 18:38:12.900 [main] DEBUG  - monsterenergy, matched with: monsterenergy[Soft Drinks]
2015-11-16 18:38:12.900 [main] DEBUG  - texas, matched with: texas[Soft Drinks]
2015-11-16 18:38:12.900 [main] DEBUG  - texas, matched with: texas[Soft Drinks]
2015-11-16 18:38:12.931 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:12.931 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:12.931 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:12.931 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:12.931 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:12.931 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:12.946 [main] DEBUG  - fish, matched with: fish[Eateries]
2015-11-16 18:38:12.962 [main] DEBUG  - sports, matched with: sports[Clothing]
2015-11-16 18:38:12.962 [main] DEBUG  - sports, matched with: sports[Clothing]
2015-11-16 18:38:12.962 [main] DEBUG  - sports, matched with: sports[Clothing]
2015-11-16 18:38:12.978 [main] DEBUG  - sports, matched with: sports[Clothing]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - nashville, matched with: nashville[Clothing]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
